id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Names,Filter,Date-Obs,SessionID
1,1098.101,607.21,258128826.369,8777488.77949,62555294.7051,0_Jupiter,656HIA,2020-10-09T01:10:40,20201009UT
1,615.799,614.875,722794.980303,1141136.4727,73717.2007599,3_Ganymede,656HIA,2020-10-09T01:10:40,20201009UT
2,864.0,611.821,599903.635947,1149648.0036,42196.4086495,2_Europa,656HIA,2020-10-09T01:10:40,20201009UT
1,1098.101,607.21,421330463.935,14039306.1074,62874221.6023,0_Jupiter,672SII,2020-10-09T01:13:19,20201009UT
1,615.799,614.875,1158624.89501,1837664.17637,72230.8967487,3_Ganymede,672SII,2020-10-09T01:13:19,20201009UT
2,864.0,611.821,967482.11795,1861098.88575,41472.3131992,2_Europa,672SII,2020-10-09T01:13:19,20201009UT
1,1098.101,607.21,828422229.932,21276377.3851,80925432.2378,0_Jupiter,647CNT,2020-10-09T01:15:58,20201009UT
1,615.799,614.875,2014791.83237,2819699.44078,95740.4542077,3_Ganymede,647CNT,2020-10-09T01:15:58,20201009UT
2,864.0,611.821,1619938.39021,2836566.3559,55622.6006748,2_Europa,647CNT,2020-10-09T01:15:58,20201009UT
1,1098.101,607.21,53259105.193,15358274.8656,657047.025505,0_Jupiter,889CH4,2020-10-09T00:54:05,20201009UT
1,615.799,614.875,1283135.50594,2126641.54148,8094.08213148,3_Ganymede,889CH4,2020-10-09T00:54:05,20201009UT
2,864.0,611.821,1045042.73298,2131693.12736,4094.29683709,2_Europa,889CH4,2020-10-09T00:54:05,20201009UT
